item_name,Alcohol,Calcium,Calories,Cholesterol,Dietary Fiber,Iron,Protein,Saturated Fat,Sodium,Sugars,Total Carbohydrate,Total Fat,Trans Fat,Vitamin A,Vitamin C,Brand Name,Meal Type,Source URL,Potassium,Caffeine,Monounsaturated Fat,Polyunsaturated Fat,Omega- Fatty Acids,Alcohol_values,Alcohol_units,Calcium_values,Calcium_units,Cholesterol_values,Cholesterol_units,Dietary Fiber_values,Dietary Fiber_units,Iron_values,Iron_units,Protein_values,Protein_units,Saturated Fat_values,Saturated Fat_units,Sodium_values,Sodium_units,Sugars_values,Sugars_units,Total Carbohydrate_values,Total Carbohydrate_units,Total Fat_values,Total Fat_units,Vitamin A_values,Vitamin A_units,Vitamin C_values,Vitamin C_units,Potassium_values,Potassium_units,Trans Fat_values,Trans Fat_units,Monounsaturated Fat_values,Monounsaturated Fat_units,Polyunsaturated Fat_values,Polyunsaturated Fat_units,Caffeine_values,Caffeine_units,Omega- Fatty Acids_values,Omega- Fatty Acids_units,Unnamed: 0
Cooked Cocktail Shrimp Tail Off,0 g,40 mg,80,165 mg,0 g,3 mg,18 g,0 g,550 mg,0 g,0 g,1 g,0 g,200 mg,2 mg,Kroger,Fish,https://www.calorieking.com/us/en/foods/f/calories-in-fish-cooked-cocktail-shrimp-tail-off/m9Z4LbAuQ-GQr2WMT3bVXg,,,,,,0.0,g,40.0,mg,165.0,mg,0.0,g,3.0,mg,18.0,g,0.0,g,550.0,mg,0.0,g,0.0,g,1.0,g,200.0,mg,2.0,mg,,,0.0,g,,,,,,,,,
Sliced Pepperoni,0 g,0 mg,140,30 mg,0 g,1 mg,6 g,5 g,500 mg,0 g,0 g,13 g,0 g,0 mg,0 mg,Kroger,Deli & Luncheon Meat,https://www.calorieking.com/us/en/foods/f/calories-in-deli-luncheon-meat-sliced-pepperoni/egTJmTtVTny08M-ylM_iGA,,,,,,0.0,g,0.0,mg,30.0,mg,0.0,g,1.0,mg,6.0,g,5.0,g,500.0,mg,0.0,g,0.0,g,13.0,g,0.0,mg,0.0,mg,,,0.0,g,,,,,,,,,
Colby Jack Cheese Slices,0 g,150 mg,80,20 mg,0 g,0 mg,5 g,3.5 g,130 mg,0 g,0 g,6 g,0 g,200 mg,0 mg,Kroger,Cheese,https://www.calorieking.com/us/en/foods/f/calories-in-cheese-colby-jack-cheese-slices/nyaGGRHdTtaSn8ZekENJwA,,,,,,0.0,g,150.0,mg,20.0,mg,0.0,g,0.0,mg,5.0,g,3.5,g,130.0,mg,0.0,g,0.0,g,6.0,g,200.0,mg,0.0,mg,,,0.0,g,,,,,,,,,
"Carbmaster, Original Ultra-Filtered Nonfat Milk, Lactose Free",0 g,400 mg,60,5 mg,0 g,0 mg,11 g,0 g,95 mg,3 g,3 g,0 g,0 g,750 mg,0 mg,Kroger,Milk & Flavored Milk,https://www.calorieking.com/us/en/foods/f/calories-in-milk-flavored-milk-carbmaster-original-ultra-filtered-nonfat-milk-lactose-free/ZNxy4TngTCOVawngYNTwsg,,,,,,0.0,g,400.0,mg,5.0,mg,0.0,g,0.0,mg,11.0,g,0.0,g,95.0,mg,3.0,g,3.0,g,0.0,g,750.0,mg,0.0,mg,,,0.0,g,,,,,,,,,
"Saltines, Original",0 g,20 mg,60,0 mg,0.5 g,1 mg,1 g,0.5 g,115 mg,0 g,10 g,1.5 g,0 g,0 mg,0 mg,Kroger,Crackers,https://www.calorieking.com/us/en/foods/f/calories-in-crackers-saltines-original/ae1Ru7uGTB61QswE7H8vww,,,,,,0.0,g,20.0,mg,0.0,mg,0.5,g,1.0,mg,1.0,g,0.5,g,115.0,mg,0.0,g,10.0,g,1.5,g,0.0,mg,0.0,mg,,,0.0,g,,,,,,,,,
New England Style Stuffed Clams,0 g,60 mg,130,0 mg,0 g,2 mg,6 g,0.5 g,470 mg,1 g,15 g,6 g,0 g,0 mg,0 mg,Kroger,Fish,https://www.calorieking.com/us/en/foods/f/calories-in-fish-new-england-style-stuffed-clams/Bolc1V6kRRymq2kuioLwUw,,,,,,0.0,g,60.0,mg,0.0,mg,0.0,g,2.0,mg,6.0,g,0.5,g,470.0,mg,1.0,g,15.0,g,6.0,g,0.0,mg,0.0,mg,,,0.0,g,,,,,,,,,
Oven Ready Breaded Popcorn Shrimp,0 g,20 mg,210,50 mg,1 g,1 mg,8 g,2.5 g,750 mg,2 g,22 g,10 g,0 g,0 mg,0 mg,Kroger,Fish,https://www.calorieking.com/us/en/foods/f/calories-in-fish-oven-ready-breaded-popcorn-shrimp/RL_6zLsjRGSDyKlhKpRFXQ,,,,,,0.0,g,20.0,mg,50.0,mg,1.0,g,1.0,mg,8.0,g,2.5,g,750.0,mg,2.0,g,22.0,g,10.0,g,0.0,mg,0.0,mg,,,0.0,g,,,,,,,,,
Raw White Shrimp,0 g,60 mg,120,150 mg,0 g,3 mg,23 g,0 g,190 mg,0 g,1 g,2 g,0 g,,2 mg,Kroger,Fish,https://www.calorieking.com/us/en/foods/f/calories-in-fish-raw-white-shrimp/3HOgTsWHQmCZG9YOl2sN8A,,,,,,0.0,g,60.0,mg,150.0,mg,0.0,g,3.0,mg,23.0,g,0.0,g,190.0,mg,0.0,g,1.0,g,2.0,g,,,2.0,mg,,,0.0,g,,,,,,,,,
"Sour Cream, Reduced-Fat",0 g,40 mg,45,15 mg,0 g,0 mg,1 g,2.5 g,40 mg,2 g,2 g,3.5 g,0 g,200 mg,0 mg,Kroger,Cream,https://www.calorieking.com/us/en/foods/f/calories-in-cream-sour-cream-reduced-fat/pHNGy1tPQIiey5NHwbPUoA,,,,,,0.0,g,40.0,mg,15.0,mg,0.0,g,0.0,mg,1.0,g,2.5,g,40.0,mg,2.0,g,2.0,g,3.5,g,200.0,mg,0.0,mg,,,0.0,g,,,,,,,,,
Vanilla Wafers,0 g,0 mg,130,0 mg,0.5 g,1 mg,1 g,0.5 g,55 mg,14 g,23 g,3.5 g,0 g,0 mg,0 mg,Kroger,Cookies,https://www.calorieking.com/us/en/foods/f/calories-in-cookies-vanilla-wafers/g00wSeSbRH-GBc2cIpTL4Q,,,,,,0.0,g,0.0,mg,0.0,mg,0.5,g,1.0,mg,1.0,g,0.5,g,55.0,mg,14.0,g,23.0,g,3.5,g,0.0,mg,0.0,mg,,,0.0,g,,,,,,,,,
Oven Ready Breaded Calamari Rings,0 g,40 mg,200,105 mg,0 g,1 mg,7 g,2.5 g,600 mg,1 g,19 g,11 g,0 g,0 mg,2 mg,Kroger,Fish,https://www.calorieking.com/us/en/foods/f/calories-in-fish-oven-ready-breaded-calamari-rings/i6-eJrRURm2_Pe5OM6pEZQ,,,,,,0.0,g,40.0,mg,105.0,mg,0.0,g,1.0,mg,7.0,g,2.5,g,600.0,mg,1.0,g,19.0,g,11.0,g,0.0,mg,2.0,mg,,,0.0,g,,,,,,,,,
Raw Flounder Fillets,0 g,20 mg,90,65 mg,0 g,1 mg,19 g,0 g,330 mg,0 g,0 g,1.5 g,0 g,0 mg,0 mg,Kroger,Fish,https://www.calorieking.com/us/en/foods/f/calories-in-fish-raw-flounder-fillets/j8sCLPj0TaK0IlxGEKsQRQ,,,,,,0.0,g,20.0,mg,65.0,mg,0.0,g,1.0,mg,19.0,g,0.0,g,330.0,mg,0.0,g,0.0,g,1.5,g,0.0,mg,0.0,mg,,,0.0,g,,,,,,,,,
"Homestyle, Mashed Potatoes",0 g,40 mg,280,30 mg,2 g,1 mg,6 g,8 g,1020 mg,0 g,36 g,14 g,0 g,600 mg,24 mg,Kroger,Frozen Meals,https://www.calorieking.com/us/en/foods/f/calories-in-frozen-meals-homestyle-mashed-potatoes/5NvBqirqTPefgaDkvhHUhw,,,4 g,1 g,,0.0,g,40.0,mg,30.0,mg,2.0,g,1.0,mg,6.0,g,8.0,g,1020.0,mg,0.0,g,36.0,g,14.0,g,600.0,mg,24.0,mg,,,0.0,g,4.0,g,1.0,g,,,,,
"Cheddar Mild, shredded",0 g,200 mg,110,30 mg,0 g,0 mg,7 g,5 g,100 mg,0 g,0.5 g,9 g,0 g,300 mg,0 mg,Kroger,Cheese,https://www.calorieking.com/us/en/foods/f/calories-in-cheese-cheddar-mild-shredded/6QdLObr9TriLsCSataGnRw,,,,,,0.0,g,200.0,mg,30.0,mg,0.0,g,0.0,mg,7.0,g,5.0,g,100.0,mg,0.0,g,0.5,g,9.0,g,300.0,mg,0.0,mg,,,0.0,g,,,,,,,,,
Cooked Cocktail Shrimp Tail-On,0 g,40 mg,80,165 mg,0 g,3 mg,18 g,0 g,550 mg,0 g,0 g,1 g,0 g,200 mg,2 mg,Kroger,Fish,https://www.calorieking.com/us/en/foods/f/calories-in-fish-cooked-cocktail-shrimp-tail-on/8TZKqmNXS9mdZZkMyEKD2A,,,,,,0.0,g,40.0,mg,165.0,mg,0.0,g,3.0,mg,18.0,g,0.0,g,550.0,mg,0.0,g,0.0,g,1.0,g,200.0,mg,2.0,mg,,,0.0,g,,,,,,,,,
"Sour Cream, Original",0 g,40 mg,60,20 mg,0 g,0 mg,1 g,3.5 g,45 mg,1 g,2 g,5 g,0 g,200 mg,0 mg,Kroger,Cream,https://www.calorieking.com/us/en/foods/f/calories-in-cream-sour-cream-original/vVF3NlkFROKnDkF963n6hA,,,,,,0.0,g,40.0,mg,20.0,mg,0.0,g,0.0,mg,1.0,g,3.5,g,45.0,mg,1.0,g,2.0,g,5.0,g,200.0,mg,0.0,mg,,,0.0,g,,,,,,,,,
Oven Roasted Cured Chicken Breast,0 g,0 mg,80,30 mg,0 g,1 mg,9 g,1 g,670 mg,1 g,1 g,4 g,0 g,0 mg,0 mg,Kroger,Deli & Luncheon Meat,https://www.calorieking.com/us/en/foods/f/calories-in-deli-luncheon-meat-oven-roasted-cured-chicken-breast/0GD2KJ5BRl69W534gaM8Rg,,,,,,0.0,g,0.0,mg,30.0,mg,0.0,g,1.0,mg,9.0,g,1.0,g,670.0,mg,1.0,g,1.0,g,4.0,g,0.0,mg,0.0,mg,,,0.0,g,,,,,,,,,
Patriotic Cupcakes,0 g,20 mg,260,20 mg,0 g,1 mg,2 g,2.5 g,260 mg,31 g,40 g,11 g,0 g,0 mg,0 mg,Kroger,Cakes,https://www.calorieking.com/us/en/foods/f/calories-in-cakes-patriotic-cupcakes/kdCgz3d2Rs2CZErvK_Vi6g,,,,,,0.0,g,20.0,mg,20.0,mg,0.0,g,1.0,mg,2.0,g,2.5,g,260.0,mg,31.0,g,40.0,g,11.0,g,0.0,mg,0.0,mg,,,0.0,g,,,,,,,,,
"Break-Free, 100% Liquid Egg Whites",0 g,0 mg,25,0 mg,0 g,0 mg,5 g,0 g,75 mg,0 g,0 g,0 g,0 g,0 mg,0 mg,Kroger,Eggs,https://www.calorieking.com/us/en/foods/f/calories-in-eggs-break-free-100-liquid-egg-whites/42XF04YuTmu-NY_pcxguSg,,,0 g,0 g,0 g,0.0,g,0.0,mg,0.0,mg,0.0,g,0.0,mg,5.0,g,0.0,g,75.0,mg,0.0,g,0.0,g,0.0,g,0.0,mg,0.0,mg,,,0.0,g,0.0,g,0.0,g,,,0.0,g,
Peanut Butter Creamy Natural,0 g,,200,0 mg,2 g,,8 g,2 g,120 mg,2 g,6 g,16 g,,,,Kroger,Nut Spreads,https://www.calorieking.com/us/en/foods/f/calories-in-nut-spreads-peanut-butter-creamy-natural/ksBvsiFvSn6xpnGGRQ6HdA,0 mg,,,,,0.0,g,,,0.0,mg,2.0,g,,,8.0,g,2.0,g,120.0,mg,2.0,g,6.0,g,16.0,g,,,,,0.0,mg,,,,,,,,,,,
Polska Kielbasa Sausage,0 g,0 mg,180,35 mg,0 g,1 mg,6 g,6 g,500 mg,2 g,2 g,17 g,0 g,0 mg,0 mg,Kroger,"Franks, Wieners & Sausages",https://www.calorieking.com/us/en/foods/f/calories-in-franks-wieners-sausages-polska-kielbasa-sausage/1FrZE1QNSHSAfFvZYa3IIQ,,,,,,0.0,g,0.0,mg,35.0,mg,0.0,g,1.0,mg,6.0,g,6.0,g,500.0,mg,2.0,g,2.0,g,17.0,g,0.0,mg,0.0,mg,,,0.0,g,,,,,,,,,
"100% Whole Grain Oats, Old Fashioned",0 g,20 mg,150,0 mg,4 g,2 mg,6 g,0 g,0 mg,1 g,27 g,2.5 g,0 g,0 mg,0 mg,Kroger,"Breakfast Cereals, To Be Cooked",https://www.calorieking.com/us/en/foods/f/calories-in-breakfast-cereals-to-be-cooked-100-whole-grain-oats-old-fashioned/2rr7eBxVQ9SldTK94aV_zQ,,,1 g,1 g,,0.0,g,20.0,mg,0.0,mg,4.0,g,2.0,mg,6.0,g,0.0,g,0.0,mg,1.0,g,27.0,g,2.5,g,0.0,mg,0.0,mg,,,0.0,g,1.0,g,1.0,g,,,,,
Cooked Sea Scallops,0 g,20 mg,100,35 mg,0 g,0 mg,19 g,0 g,240 mg,0 g,3 g,1 g,0 g,0 mg,0 mg,Kroger,Fish,https://www.calorieking.com/us/en/foods/f/calories-in-fish-cooked-sea-scallops/GbsmoqRsT9u5Y3-QYhezCw,,,,,,0.0,g,20.0,mg,35.0,mg,0.0,g,0.0,mg,19.0,g,0.0,g,240.0,mg,0.0,g,3.0,g,1.0,g,0.0,mg,0.0,mg,,,0.0,g,,,,,,,,,
Honey Turkey Breast & White Turkey,0 g,0 mg,35,10 mg,0 g,0 mg,5 g,0 g,340 mg,2 g,2 g,0.5 g,0 g,0 mg,0 mg,Kroger,Deli & Luncheon Meat,https://www.calorieking.com/us/en/foods/f/calories-in-deli-luncheon-meat-honey-turkey-breast-white-turkey/pPpHRvpHRBC0SOlaeRvjZg,,,,,,0.0,g,0.0,mg,10.0,mg,0.0,g,0.0,mg,5.0,g,0.0,g,340.0,mg,2.0,g,2.0,g,0.5,g,0.0,mg,0.0,mg,,,0.0,g,,,,,,,,,
Broiled Cod Fillets,0 g,0 mg,90,50 mg,0 g,1 mg,19 g,0 g,60 mg,0 g,0 g,1 g,0 g,0 mg,0 mg,Kroger,Fish,https://www.calorieking.com/us/en/foods/f/calories-in-fish-broiled-cod-fillets/hV77T2U6RWOH31mCFwTzeQ,,,,,,0.0,g,0.0,mg,50.0,mg,0.0,g,1.0,mg,19.0,g,0.0,g,60.0,mg,0.0,g,0.0,g,1.0,g,0.0,mg,0.0,mg,,,0.0,g,,,,,,,,,
"Sour Cream, Fat-Free",0 g,40 mg,20,0 mg,0 g,0 mg,1 g,0 g,25 mg,2 g,3 g,0 g,0 g,300 mg,0 mg,Kroger,Cream,https://www.calorieking.com/us/en/foods/f/calories-in-cream-sour-cream-fat-free/hsUd_gUoRISspZW4KHb0MA,,,0 g,0 g,0 g,0.0,g,40.0,mg,0.0,mg,0.0,g,0.0,mg,1.0,g,0.0,g,25.0,mg,2.0,g,3.0,g,0.0,g,300.0,mg,0.0,mg,,,0.0,g,0.0,g,0.0,g,,,0.0,g,
Grade A Large Eggs,0 g,20 mg,70,185 mg,0 g,1 mg,6 g,1.5 g,70 mg,0 g,0 g,5 g,0 g,300 mg,0 mg,Kroger,Eggs,https://www.calorieking.com/us/en/foods/f/calories-in-eggs-grade-a-large-eggs/NzbxsA16QQy5x9Y-8G_LzQ,70 mg,,,,,0.0,g,20.0,mg,185.0,mg,0.0,g,1.0,mg,6.0,g,1.5,g,70.0,mg,0.0,g,0.0,g,5.0,g,300.0,mg,0.0,mg,70.0,mg,0.0,g,,,,,,,,,
Swedish Style Meatballs,0 g,,250,,,,15 g,,,,7 g,18 g,,,,Kroger,Frozen Meals,https://www.calorieking.com/us/en/foods/f/calories-in-frozen-meals-swedish-style-meatballs/B3sKRG16SK6CRVevZdWSyA,,,,,,0.0,g,,,,,,,,,15.0,g,,,,,,,7.0,g,18.0,g,,,,,,,,,,,,,,,,,
"4 Cheese Mexican Blend, Reduced Fat, Shredded Monterey-Jack, Cheddar, Colby & Mozarella Cheese",0 g,800 mg,320,60 mg,0 g,0 mg,28 g,14 g,960 mg,0 g,4 g,20 g,0 g,800 mg,0 mg,Kroger,Cheese,https://www.calorieking.com/us/en/foods/f/calories-in-cheese-4-cheese-mexican-blend-reduced-fat-shredded-monterey-jack-cheddar-colby-mozarella-cheese/kg8GdpTmQ6-i3w9ykNT2gg,,,,,,0.0,g,800.0,mg,60.0,mg,0.0,g,0.0,mg,28.0,g,14.0,g,960.0,mg,0.0,g,4.0,g,20.0,g,800.0,mg,0.0,mg,,,0.0,g,,,,,,,,,
Maple & Brown Sugar Instant Oatmeal,0 g,100 mg,160,0 mg,3 g,4 mg,4 g,0 g,140 mg,14 g,32 g,2 g,0 g,1000 mg,0 mg,Kroger,"Breakfast Cereals, To Be Cooked",https://www.calorieking.com/us/en/foods/f/calories-in-breakfast-cereals-to-be-cooked-maple-brown-sugar-instant-oatmeal/Wtwe8VdJSLqBT4ZoeAoPmg,,,0.5 g,0.5 g,,0.0,g,100.0,mg,0.0,mg,3.0,g,4.0,mg,4.0,g,0.0,g,140.0,mg,14.0,g,32.0,g,2.0,g,1000.0,mg,0.0,mg,,,0.0,g,0.5,g,0.5,g,,,,,
Mild Pork Sausage,0 g,0 mg,240,45 mg,0 g,1 mg,8 g,8 g,360 mg,0 g,2 g,22 g,0 g,0 mg,0 mg,Kroger,"Franks, Wieners & Sausages",https://www.calorieking.com/us/en/foods/f/calories-in-franks-wieners-sausages-mild-pork-sausage/BQ4a3J4KT76xTWpTS_MT_w,,,,,,0.0,g,0.0,mg,45.0,mg,0.0,g,1.0,mg,8.0,g,8.0,g,360.0,mg,0.0,g,2.0,g,22.0,g,0.0,mg,0.0,mg,,,0.0,g,,,,,,,,,
Deli Thin Sliced Smoked Ham,0 g,0 mg,60,30 mg,0 g,1 mg,10 g,0 g,580 mg,1 g,1 g,1.5 g,0 g,0 mg,0 mg,Kroger,Deli & Luncheon Meat,https://www.calorieking.com/us/en/foods/f/calories-in-deli-luncheon-meat-deli-thin-sliced-smoked-ham/eOwhSicfQbSYipkiW7qCOg,,,,,,0.0,g,0.0,mg,30.0,mg,0.0,g,1.0,mg,10.0,g,0.0,g,580.0,mg,1.0,g,1.0,g,1.5,g,0.0,mg,0.0,mg,,,0.0,g,,,,,,,,,
Baked Alaskan Sockeye Salmon Fillets,0 g,0 mg,180,75 mg,0 g,1 mg,23 g,2 g,55 mg,0 g,0 g,9 g,0 g,200 mg,0 mg,Kroger,Fish,https://www.calorieking.com/us/en/foods/f/calories-in-fish-baked-alaskan-sockeye-salmon-fillets/0EwowtMoRtaTBaXuzmZT1Q,,,,,,0.0,g,0.0,mg,75.0,mg,0.0,g,1.0,mg,23.0,g,2.0,g,55.0,mg,0.0,g,0.0,g,9.0,g,200.0,mg,0.0,mg,,,0.0,g,,,,,,,,,
"Loaf Cake, Blueberry",0 g,30 mg,160,25 mg,0 g,1 mg,2 g,1.5 g,140 mg,12 g,20 g,8 g,0 g,50 mg,0 mg,Kroger,Cakes,https://www.calorieking.com/us/en/foods/f/calories-in-cakes-loaf-cake-blueberry/tV9ACu8LRMaTZwkOgNofVg,,,,,,0.0,g,30.0,mg,25.0,mg,0.0,g,1.0,mg,2.0,g,1.5,g,140.0,mg,12.0,g,20.0,g,8.0,g,50.0,mg,0.0,mg,,,0.0,g,,,,,,,,,
Raw Large Shrimps,0 g,60 mg,120,150 mg,0 g,3 mg,23 g,0 g,170 mg,0 g,1 g,2 g,0 g,200 mg,2 mg,Kroger,Fish,https://www.calorieking.com/us/en/foods/f/calories-in-fish-raw-large-shrimps/ZwmxdRhdRyiFQn9gEX0ljg,,,,,,0.0,g,60.0,mg,150.0,mg,0.0,g,3.0,mg,23.0,g,0.0,g,170.0,mg,0.0,g,1.0,g,2.0,g,200.0,mg,2.0,mg,,,0.0,g,,,,,,,,,
Honey Ham Water Added,0 g,0 mg,30,10 mg,0 g,0 mg,4 g,0 g,280 mg,1 g,1 g,1 g,0 g,0 mg,0 mg,Kroger,Deli & Luncheon Meat,https://www.calorieking.com/us/en/foods/f/calories-in-deli-luncheon-meat-honey-ham-water-added/aV-OJPY-QZ6wzq7uyACv4w,,,,,,0.0,g,0.0,mg,10.0,mg,0.0,g,0.0,mg,4.0,g,0.0,g,280.0,mg,1.0,g,1.0,g,1.0,g,0.0,mg,0.0,mg,,,0.0,g,,,,,,,,,
Premium Chicken Breast,0 g,20 mg,60,10 mg,0 g,1 mg,11 g,0 g,320 mg,0 g,0 g,1 g,0 g,100 mg,1 mg,Kroger,Canned Meals,https://www.calorieking.com/us/en/foods/f/calories-in-canned-meals-premium-chicken-breast/XtK5NJoBRRuxZZPQPUtvyg,,,,,,0.0,g,20.0,mg,10.0,mg,0.0,g,1.0,mg,11.0,g,0.0,g,320.0,mg,0.0,g,0.0,g,1.0,g,100.0,mg,1.0,mg,,,0.0,g,,,,,,,,,
"Mild Chedddar & Monterey Jack, shredded",0 g,200 mg,100,30 mg,0 g,0 mg,7 g,5 g,170 mg,0 g,1 g,8 g,0 g,300 mg,0 mg,Kroger,Cheese,https://www.calorieking.com/us/en/foods/f/calories-in-cheese-mild-chedddar-monterey-jack-shredded/umhz8NpOSt-_SxgzWbMCiA,,,,,,0.0,g,200.0,mg,30.0,mg,0.0,g,0.0,mg,7.0,g,5.0,g,170.0,mg,0.0,g,1.0,g,8.0,g,300.0,mg,0.0,mg,,,0.0,g,,,,,,,,,
